,matchup,home,result,winner high,loser high,DATE
0,Portland POR,LA LAC,"LAC 112, POR 97",Jeff McInnis 23 Pts,Damon Stoudamire 25 Pts,20020101
0,Orlando ORL,Boston BOS,"BOS 110, ORL 94",Antoine Walker 30 Pts,Pat Garrity 19 Pts,20020102
1,Golden State GS,Cleveland CLE,"CLE 113, GS 98",Lamond Murray 40 Pts,Antawn Jamison 24 Pts,20020102
2,Los Angeles LAL,Denver DEN,"LAL 87, DEN 86",Kobe Bryant 28 Pts,Nick Van Exel 25 Pts,20020102
3,Milwaukee MIL,Minnesota MIN,"MIN 95, MIL 77",Kevin Garnett 22 Pts,Michael Redd 22 Pts,20020102
4,Philadelphia PHI,Phoenix PHX,"PHI 102, PHX 81",Allen Iverson 29 Pts,Stephon Marbury 17 Pts,20020102
5,Toronto TOR,Portland POR,"TOR 95, POR 84",Vince Carter 28 Pts,Rasheed Wallace 22 Pts,20020102
6,LA LAC,Sacramento SAC,"SAC 105, LAC 91",Chris Webber 21 Pts,Jeff McInnis 20 Pts,20020102
7,Dallas DAL,Chicago CHI,"DAL 107, CHI 97",Steve Nash 24 Pts,Metta World Peace 29 Pts,20020102
8,Memphis MEM,New Jersey NJ,"NJ 92, MEM 74",Aaron Williams 20 Pts,Shane Battier 20 Pts,20020102
9,Detroit DET,San Antonio SA,"SA 97, DET 85",Tim Duncan 20 Pts,Zeljko Rebraca 17 Pts,20020102
0,Golden State GS,Charlotte CHA,"CHA 114, GS 102",Baron Davis 28 Pts,Antawn Jamison 24 Pts,20020103
1,Detroit DET,Houston HOU,"HOU 99, DET 97",Steve Francis 36 Pts,Jerry Stackhouse 29 Pts,20020103
2,Dallas DAL,New York NY,"NY 108, DAL 101",Marcus Camby 26 Pts,Dirk Nowitzki 30 Pts,20020103
0,LA LAC,Denver DEN,"LAC 82, DEN 80",Lamar Odom 27 Pts,James Posey 28 Pts,20020104
1,Utah UTAH,Minnesota MIN,"MIN 93, UTAH 86",Wally Szczerbiak 37 Pts,Karl Malone 15 Pts,20020104
2,Philadelphia PHI,Seattle SEA,"PHI 87, SEA 77",Allen Iverson 22 Pts,Rashard Lewis 15 Pts,20020104
3,Chicago CHI,Washington WSH,"WSH 89, CHI 83",Michael Jordan 29 Pts,Ron Mercer 25 Pts,20020104
4,Cleveland CLE,Toronto TOR,"TOR 101, CLE 91",Vince Carter 34 Pts,Ricky Davis 15 Pts,20020104
5,Atlanta ATL,Memphis MEM,"ATL 113, MEM 109",Shareef Abdur-Rahim 22 Pts,Shane Battier 22 Pts,20020104
6,Miami MIA,Boston BOS,"MIA 89, BOS 66",Eddie Jones 23 Pts,Paul Pierce 20 Pts,20020104
7,Phoenix PHX,Los Angeles LAL,"LAL 118, PHX 86",Shaquille O'Neal 24 Pts,Shawn Marion 20 Pts,20020104
8,Orlando ORL,New Jersey NJ,"ORL 109, NJ 96",Tracy McGrady 35 Pts,Jason Kidd 24 Pts,20020104
9,Indiana IND,San Antonio SA,"IND 92, SA 82",Al Harrington 18 Pts,Tim Duncan 22 Pts,20020104
0,Minnesota MIN,Atlanta ATL,"MIN 112, ATL 96",Wally Szczerbiak 23 Pts,Shareef Abdur-Rahim 20 Pts,20020105
1,Sacramento SAC,Phoenix PHX,"SAC 118, PHX 112",Chris Webber 35 Pts,Stephon Marbury 35 Pts,20020105
2,Philadelphia PHI,Portland POR,"POR 96, PHI 88",Rasheed Wallace 30 Pts,Derrick Coleman 21 Pts,20020105
3,New Jersey NJ,Charlotte CHA,"NJ 89, CHA 80",Jason Collins 18 Pts,Elden Campbell 26 Pts,20020105
4,Utah UTAH,Chicago CHI,"UTAH 113, CHI 111",Karl Malone 32 Pts,Ron Mercer 29 Pts,20020105
5,San Antonio SA,Dallas DAL,"SA 105, DAL 103",Tim Duncan 29 Pts,Dirk Nowitzki 28 Pts,20020105
6,Cleveland CLE,Detroit DET,"DET 101, CLE 91",Jerry Stackhouse 29 Pts,Zydrunas Ilgauskas 20 Pts,20020105
7,Indiana IND,Houston HOU,"IND 81, HOU 79",Jermaine O'Neal 28 Pts,Steve Francis 13 Pts,20020105
8,Milwaukee MIL,LA LAC,"LAC 86, MIL 83",Lamar Odom 18 Pts,Ray Allen 24 Pts,20020105
9,Boston BOS,New York NY,"BOS 90, NY 81",Paul Pierce 28 Pts,Marcus Camby 21 Pts,20020105
10,Golden State GS,Orlando ORL,"ORL 118, GS 109",Troy Hudson 26 Pts,Antawn Jamison 27 Pts,20020105
0,Seattle SEA,Memphis MEM,"SEA 89, MEM 77",Gary Payton 24 Pts,Jason Williams 19 Pts,20020106
1,Los Angeles LAL,Toronto TOR,"LAL 109, TOR 89",Kobe Bryant 31 Pts,Vince Carter 24 Pts,20020106
2,Milwaukee MIL,Sacramento SAC,"SAC 115, MIL 101",Peja Stojakovic 29 Pts,Ray Allen 29 Pts,20020106
3,Golden State GS,Miami MIA,"MIA 92, GS 84",Eddie Jones 22 Pts,Antawn Jamison 31 Pts,20020106
0,Denver DEN,Charlotte CHA,"CHA 94, DEN 80",Elden Campbell 21 Pts,Nick Van Exel 24 Pts,20020107
1,Portland POR,Cleveland CLE,"POR 98, CLE 72",Dale Davis 20 Pts,Zydrunas Ilgauskas 11 Pts,20020107
2,Detroit DET,Minnesota MIN,"MIN 109, DET 93",Kevin Garnett 23 Pts,Jerry Stackhouse 24 Pts,20020107
3,LA LAC,Philadelphia PHI,"PHI 116, LAC 92",Allen Iverson 30 Pts,Quentin Richardson 21 Pts,20020107
4,Seattle SEA,Chicago CHI,"SEA 100, CHI 88",Gary Payton 26 Pts,Metta World Peace 26 Pts,20020107
5,Boston BOS,Orlando ORL,"ORL 98, BOS 87",Mike Miller 27 Pts,Paul Pierce 20 Pts,20020107
