,AST,DRR,EWA,GP,MPG,No statistics available.,No statistics available..1,No statistics available..10,No statistics available..11,No statistics available..12,No statistics available..13,No statistics available..2,No statistics available..3,No statistics available..4,No statistics available..5,No statistics available..6,No statistics available..7,No statistics available..8,No statistics available..9,ORR,PER,PLAYER,REBR,RK,TO,TS%,USG,VA
0,17.1,34.5,17.7,57,30.9,,,,,,,,,,,,,,,7.8,31.73,"Giannis Antetokounmpo, MIL",22.0,1,10.8,.608,37.1,532.4
1,11.5,22.2,15.6,54,34.3,,,,,,,,,,,,,,,7.3,28.37,"Anthony Davis, LAL",15.0,2,9.1,.614,29.2,466.7
2,18.5,15.3,19.5,60,36.8,,,,,,,,,,,,,,,3.0,28.27,"James Harden, HOU",9.1,3,11.3,.614,36.8,584.8
3,23.3,25.1,14.8,52,33.1,,,,,,,,,,,,,,,4.1,27.75,"Luka Doncic, DAL",14.8,4,11.3,.583,38.6,443.5
4,16.1,19.7,12.9,50,32.4,,,,,,,,,,,,,,,3.4,26.57,"Kawhi Leonard, LAC",11.8,5,9.1,.583,33.5,388.0
5,15.5,26.1,9.4,35,33.9,,,,,,,,,,,,,,,8.1,26.54,"Karl-Anthony Towns, MIN",16.8,6,11.2,.642,28.8,282.5
6,20.0,12.3,5.0,20,32.9,,,,,,,,,,,,,,,3.5,26.36,"Kyrie Irving, BKN",8.1,7,8.1,.595,33.4,150.8
7,22.9,10.4,15.9,57,36.8,,,,,,,,,,,,,,,1.5,26.25,"Damian Lillard, POR",6.0,8,8.5,.618,31.2,478.0
8,29.0,20.8,15.9,59,34.9,,,,,,,,,,,,,,,3.1,26.01,"LeBron James, LAL",12.2,9,10.9,.581,33.7,477.0
9,12.1,33.0,9.8,43,30.3,,,,,,,,,,,,,,,9.9,25.77,"Joel Embiid, PHI",21.4,10,11.8,.591,31.9,294.7
10,AST,DRR,EWA,GP,MPG,,,,,,,,,,,,,,,ORR,PER,PLAYER,REBR,RK,TO,TS%,USG,VA
11,25.6,26.8,15.0,64,32.3,,,,,,,,,,,,,,,8.2,25.22,"Nikola Jokic, DEN",17.5,11,11.5,.603,28.3,451.1
12,7.7,33.5,13.5,60,31.2,,,,,,,,,,,,,,,13.4,25.08,"Hassan Whiteside, POR",23.6,12,12.2,.641,19.1,405.1
13,9.1,13.9,3.9,19,29.7,,,,,,,,,,,,,,,10.2,24.34,"Zion Williamson, NO",12.0,13,11.3,.624,28.9,116.7
14,23.9,11.7,13.3,59,35.3,,,,,,,,,,,,,,,1.5,23.85,"Trae Young, ATL",6.5,14,12.3,.593,36.0,399.3
15,7.7,23.8,8.1,40,33.1,,,,,,,,,,,,,,,9.0,23.84,"John Collins, ATL",16.3,15,9.2,.665,21.8,243.5
16,7.8,19.3,8.8,59,23.1,,,,,,,,,,,,,,,13.6,23.53,"Mitchell Robinson, NY",16.4,16,8.0,.723,13.1,262.6
17,23.9,15.2,11.9,54,34.3,,,,,,,,,,,,,,,6.2,23.41,"Jimmy Butler, MIA",10.9,17,8.5,.583,25.7,356.8
18,9.0,16.2,10.0,62,27.9,,,,,,,,,,,,,,,9.9,23.17,"Montrezl Harrell, LAC",13.1,18,9.3,.608,24.9,301.3
19,17.0,10.6,12.6,56,36.0,,,,,,,,,,,,,,,2.7,23.09,"Bradley Beal, WSH",6.5,19,9.4,.578,34.3,378.6
20,7.9,25.0,7.3,61,21.1,,,,,,,,,,,,,,,9.0,22.90,"Christian Wood, DET",16.9,20,11.0,.654,22.2,218.8
21,AST,DRR,EWA,GP,MPG,,,,,,,,,,,,,,,ORR,PER,PLAYER,REBR,RK,TO,TS%,USG,VA
22,11.8,31.9,9.2,61,26.1,,,,,,,,,,,,,,,12.4,22.26,"Jonas Valanciunas, MEM",22.3,21,11.0,.626,20.9,277.3
23,12.1,37.8,10.7,56,32.9,,,,,,,,,,,,,,,15.0,22.25,"Andre Drummond, CLE/DET",26.3,22,15.9,.552,28.1,320.5
24,10.8,30.2,5.0,50,17.5,,,,,,,,,,,,,,,17.0,22.15,"Enes Kanter, BOS",23.7,23,11.4,.597,19.0,151.1
25,12.7,20.2,6.1,50,21.7,,,,,,,,,,,,,,,7.7,21.84,"Brandon Clarke, MEM",14.1,24,8.1,.671,18.6,184.0
26,8.0,24.7,3.0,50,10.7,,,,,,,,,,,,,,,19.3,21.80,"Tony Bradley, UTAH",22.1,25,10.8,.675,15.3,89.5
27,13.1,20.0,5.6,55,18.4,,,,,,,,,,,,,,,9.3,21.76,"Nerlens Noel, OKC",14.8,26,13.4,.714,14.8,168.9
28,10.6,31.3,11.9,62,34.5,,,,,,,,,,,,,,,11.3,21.76,"Rudy Gobert, UTAH",21.8,,13.6,.700,15.6,356.7
29,28.8,15.5,10.7,63,31.8,,,,,,,,,,,,,,,1.2,21.75,"Chris Paul, OKC",8.6,28,9.3,.609,24.3,321.5
30,15.9,29.3,9.6,53,32.6,,,,,,,,,,,,,,,7.7,21.74,"Nikola Vucevic, ORL",18.1,29,6.2,.538,26.0,287.2
31,18.9,18.4,9.8,52,35.9,,,,,,,,,,,,,,,5.2,21.54,"Russell Westbrook, HOU",11.8,30,12.0,.537,34.9,293.9
32,AST,DRR,EWA,GP,MPG,,,,,,,,,,,,,,,ORR,PER,PLAYER,REBR,RK,TO,TS%,USG,VA
33,17.7,17.0,9.1,55,30.1,,,,,,,,,,,,,,,2.5,21.52,"Khris Middleton, MIL",10.2,31,8.9,.619,26.1,271.8
34,20.6,15.8,11.2,60,34.3,,,,,,,,,,,,,,,1.9,21.48,"DeMar DeRozan, SA",8.9,32,9.1,.598,26.8,337.1
35,22.8,8.3,6.6,50,26.0,,,,,,,,,,,,,,,2.3,21.17,"Derrick Rose, DET",5.3,33,10.3,.555,32.7,197.0
