,DATE,SEASON,HOME,AWAY,GAME_RESULT
857,20021006,2003,SEA,UTAH,-7
858,20021008,2003,MIN,MIL,6
859,20021008,2003,PHI,SA,-13
860,20021008,2003,POR,UTAH,13
861,20021008,2003,SEA,GS,-9
862,20021008,2003,TOR,DET,-10
863,20021008,2003,MEM,HOU,-9
864,20021008,2003,ATL,ORL,27
865,20021008,2003,DAL,SAC,9
866,20021008,2003,LAL,LAC,-2
867,20021008,2003,NY,BOS,-9
868,20021009,2003,IND,NO,24
869,20021009,2003,MEM,MIA,12
870,20021009,2003,NJ,CLE,8
871,20021010,2003,IND,NO,-2
872,20021010,2003,ORL,ATL,13
873,20021010,2003,POR,LAC,22
874,20021010,2003,WSH,PHI,15
875,20021010,2003,BOS,CHI,11
876,20021010,2003,DAL,DEN,10
877,20021010,2003,DET,CLE,4
878,20021010,2003,NY,SA,4
879,20021010,2003,SAC,UTAH,10
880,20021011,2003,MIA,MIN,-5
881,20021011,2003,CHI,TOR,8
882,20021011,2003,GS,POR,-12
883,20021011,2003,LAC,SEA,-2
884,20021011,2003,LAL,MEM,8
885,20021011,2003,MIL,DAL,7
886,20021011,2003,NJ,PHX,4
887,20021012,2003,IND,ATL,2
888,20021012,2003,SAC,GS,18
889,20021012,2003,NO,SA,-17
890,20021012,2003,LAL,DEN,-22
891,20021012,2003,MIA,ORL,1
892,20021012,2003,NY,PHX,-7
893,20021013,2003,LAC,MEM,10
894,20021013,2003,TOR,PHI,-4
895,20021014,2003,PHI,WSH,-5
896,20021014,2003,POR,GS,-18
897,20021014,2003,SEA,MEM,10
898,20021014,2003,CHI,PHX,-10
899,20021015,2003,MIN,CHI,26
900,20021015,2003,ORL,NO,13
901,20021015,2003,UTAH,NY,-6
902,20021015,2003,CLE,TOR,-17
903,20021015,2003,DET,DAL,4
904,20021015,2003,HOU,SA,3
905,20021015,2003,NJ,BOS,12
906,20021015,2003,WSH,DEN,6
907,20021016,2003,IND,DEN,5
908,20021016,2003,MIL,LAC,22
909,20021016,2003,POR,SEA,12
910,20021016,2003,SAC,NY,-3
911,20021017,2003,NO,WSH,-10
912,20021017,2003,PHX,HOU,-7
913,20021017,2003,ATL,MIA,-20
914,20021017,2003,BOS,NJ,-8
915,20021017,2003,DAL,DET,-3
916,20021017,2003,LAL,GS,2
917,20021018,2003,IND,MIN,5
918,20021018,2003,TOR,NJ,-16
919,20021018,2003,MEM,ORL,3
920,20021018,2003,CHI,LAC,7
921,20021018,2003,CLE,UTAH,4
922,20021018,2003,HOU,POR,-1
923,20021018,2003,SA,NY,-3
924,20021019,2003,MIN,BOS,-12
925,20021019,2003,SEA,DEN,6
926,20021019,2003,MEM,CHI,24
927,20021019,2003,ATL,IND,9
928,20021019,2003,DAL,MIL,8
929,20021019,2003,DET,LAC,4
930,20021019,2003,LAL,PHX,-6
931,20021019,2003,PHI,UTAH,-8
932,20021019,2003,SA,MIA,13
933,20021019,2003,WSH,NO,-7
934,20021020,2003,DET,MIA,5
935,20021020,2003,SEA,SAC,-1
936,20021020,2003,TOR,BOS,11
937,20021020,2003,HOU,ORL,5
938,20021021,2003,DEN,WSH,-23
939,20021021,2003,CHI,MIN,6
940,20021022,2003,NO,ATL,-8
941,20021022,2003,ORL,MEM,8
942,20021022,2003,PHI,NJ,29
943,20021022,2003,SAC,POR,3
944,20021022,2003,SEA,PHX,23
945,20021022,2003,LAL,CLE,-1
946,20021022,2003,MIA,DET,-12
947,20021022,2003,NY,UTAH,-5
948,20021022,2003,TOR,GS,1
949,20021023,2003,BOS,DAL,-8
950,20021023,2003,DEN,IND,-7
951,20021023,2003,PHX,CHI,1
952,20021023,2003,DET,WSH,20
953,20021023,2003,LAC,MIL,-8
954,20021023,2003,SA,HOU,1
955,20021024,2003,SAC,CLE,21
956,20021024,2003,DEN,GS,-28
957,20021024,2003,UTAH,TOR,7
958,20021024,2003,HOU,PHI,-4
959,20021024,2003,LAL,MIL,5
960,20021024,2003,ORL,DAL,-7
961,20021025,2003,CLE,MIL,9
962,20021025,2003,MIN,IND,35
963,20021025,2003,PHX,GS,8
964,20021025,2003,ATL,NO,21
965,20021025,2003,LAL,SAC,-5
966,20021025,2003,NJ,NY,29
967,20021025,2003,SA,PHI,21
968,20021025,2003,BOS,WSH,9
969,20021029,2003,SAC,CLE,27
970,20021029,2003,LAL,SA,-6
971,20021029,2003,ORL,PHI,7
972,20021030,2003,POR,LAL,12
973,20021030,2003,BOS,CHI,-3
974,20021030,2003,IND,HOU,9
975,20021030,2003,MIN,DEN,6
976,20021030,2003,PHI,MIL,2
977,20021030,2003,SEA,PHX,13
978,20021030,2003,TOR,WSH,6
979,20021030,2003,MEM,DAL,-11
980,20021030,2003,NO,UTAH,25
981,20021030,2003,GS,SA,8
982,20021030,2003,LAC,CLE,-2
983,20021030,2003,MIA,ORL,-14
984,20021030,2003,NJ,ATL,11
985,20021030,2003,DET,NY,9
986,20021031,2003,SAC,POR,28
987,20021031,2003,ATL,UTAH,7
988,20021031,2003,WSH,BOS,45
989,20021101,2003,DEN,HOU,-9
990,20021101,2003,MIN,ORL,6
991,20021101,2003,PHX,CLE,4
992,20021101,2003,CHI,NO,5
993,20021101,2003,GS,SEA,-13
994,20021101,2003,LAC,LAL,-15
995,20021101,2003,NJ,IND,11
996,20021101,2003,SA,TOR,19
997,20021101,2003,DET,MEM,23
998,20021101,2003,PHI,NY,12
999,20021102,2003,ATL,CHI,6
1000,20021102,2003,IND,MIN,7
1001,20021102,2003,POR,DEN,-17
1002,20021102,2003,UTAH,GS,9
1003,20021102,2003,WSH,NJ,-8
1004,20021102,2003,MEM,SAC,-17
1005,20021102,2003,NO,MIA,5
1006,20021102,2003,DAL,PHX,14
1007,20021102,2003,HOU,TOR,12
1008,20021102,2003,MIL,ORL,-10
1009,20021102,2003,NY,BOS,-10
1010,20021103,2003,LAC,DET,2
1011,20021103,2003,MIA,SAC,10
1012,20021103,2003,SEA,UTAH,14
1013,20021103,2003,LAL,POR,3
1014,20021104,2003,PHX,DET,-2
1015,20021104,2003,TOR,CHI,4
1016,20021104,2003,MEM,SA,-2
1017,20021104,2003,DAL,GS,7
1018,20021104,2003,NJ,MIN,24
1019,20021104,2003,NY,MIL,-9
1020,20021105,2003,CLE,LAL,19
1021,20021105,2003,DEN,ATL,-16
1022,20021105,2003,MIN,WSH,4
1023,20021105,2003,ORL,SAC,4
1024,20021105,2003,HOU,SEA,-7
1025,20021105,2003,MIA,IND,-4
1026,20021105,2003,SA,GS,20
1027,20021106,2003,NY,SAC,7
1028,20021106,2003,PHI,LAC,2
1029,20021106,2003,PHX,ATL,5
1030,20021106,2003,POR,MEM,6
1031,20021106,2003,UTAH,DET,-2
1032,20021106,2003,WSH,CLE,7
1033,20021106,2003,TOR,DAL,-14
1034,20021106,2003,NO,SEA,2
1035,20021106,2003,CHI,BOS,-22
1036,20021106,2003,MIL,NJ,6
1037,20021107,2003,MIN,MIL,4
1038,20021107,2003,BOS,LAL,3
1039,20021107,2003,DEN,DET,-26
1040,20021108,2003,IND,NY,13
1041,20021108,2003,ORL,SEA,7
1042,20021108,2003,PHI,CLE,24
1043,20021108,2003,PHX,POR,11
1044,20021108,2003,UTAH,ATL,13
1045,20021108,2003,NO,GS,6
1046,20021108,2003,CHI,DAL,-27
1047,20021108,2003,NJ,LAC,14
1048,20021108,2003,SAC,MEM,8
1049,20021108,2003,WSH,LAL,1
1050,20021109,2003,DEN,MEM,11
1051,20021109,2003,IND,TOR,24
1052,20021109,2003,MIN,BOS,-6
1053,20021109,2003,CHI,NJ,7
1054,20021109,2003,CLE,WSH,-14
1055,20021109,2003,DAL,DET,39
1056,20021109,2003,HOU,GS,7
1057,20021109,2003,MIL,PHI,5
1058,20021109,2003,SA,POR,-19
1059,20021109,2003,MIA,SEA,-2
1060,20021110,2003,NY,NO,-6
1061,20021110,2003,ORL,LAC,-3
1062,20021110,2003,SAC,ATL,8
1063,20021111,2003,BOS,UTAH,17
1064,20021111,2003,MEM,GS,-7
1065,20021111,2003,DAL,POR,9
1066,20021111,2003,SA,MIN,16
1067,20021112,2003,IND,CLE,20
1068,20021112,2003,ORL,TOR,-6
1069,20021112,2003,WSH,SEA,-6
1070,20021112,2003,DET,NO,6
1071,20021112,2003,HOU,POR,3
1072,20021112,2003,LAL,ATL,-12
1073,20021112,2003,MIA,LAC,-19
1074,20021112,2003,NY,UTAH,-21
1075,20021113,2003,GS,SAC,-11
1076,20021113,2003,BOS,PHI,10
1077,20021113,2003,CLE,DAL,-4
1078,20021113,2003,DEN,PHX,-3
1079,20021113,2003,MIL,CHI,7
1080,20021113,2003,NJ,SA,9
1081,20021113,2003,NO,MIN,4
1082,20021114,2003,LAC,ORL,-21
1083,20021114,2003,PHI,SA,5
1084,20021114,2003,WSH,UTAH,3
1085,20021115,2003,IND,MIL,3
1086,20021115,2003,POR,LAC,24
1087,20021115,2003,SEA,SAC,14
1088,20021115,2003,TOR,DEN,5
1089,20021115,2003,MEM,MIN,-4
1090,20021115,2003,NO,CHI,18
1091,20021115,2003,LAL,GS,7
1092,20021115,2003,BOS,DAL,-11
1093,20021115,2003,DET,UTAH,11
1094,20021115,2003,MIA,NJ,-9
1095,20021115,2003,PHX,HOU,1
1096,20021116,2003,NY,PHI,-1
1097,20021116,2003,ATL,NO,7
1098,20021116,2003,MIN,IND,-6
1099,20021116,2003,WSH,MIA,30
1100,20021116,2003,CHI,MEM,18
1101,20021116,2003,CLE,SA,-13
1102,20021116,2003,DET,DEN,21
1103,20021116,2003,GS,ORL,42
1104,20021116,2003,MIL,BOS,17
1105,20021116,2003,NJ,DAL,-8
1106,20021117,2003,LAC,SEA,-6
1107,20021117,2003,TOR,UTAH,-4
1108,20021117,2003,SAC,ORL,2
1109,20021117,2003,LAL,HOU,-4
1110,20021117,2003,PHI,WSH,16
1111,20021118,2003,ATL,TOR,25
1112,20021118,2003,GS,LAC,-10
1113,20021118,2003,NJ,DEN,20
1114,20021118,2003,NY,DET,3
1115,20021118,2003,SA,CLE,26
1116,20021119,2003,MIL,MIA,-4
1117,20021119,2003,MIN,MEM,4
1118,20021119,2003,SAC,CHI,13
1119,20021119,2003,SEA,ORL,-17
1120,20021119,2003,UTAH,PHX,23
1121,20021119,2003,NO,PHI,1
1122,20021119,2003,DAL,LAL,26
1123,20021119,2003,HOU,CLE,17
1124,20021120,2003,BOS,NJ,17
1125,20021120,2003,DEN,UTAH,-17
1126,20021120,2003,POR,ORL,14
1127,20021120,2003,TOR,IND,-2
1128,20021120,2003,ATL,MIN,-10
1129,20021120,2003,DET,MIA,11
1130,20021120,2003,GS,CHI,6
1131,20021120,2003,LAC,SAC,-4
1132,20021120,2003,SA,LAL,7
1133,20021120,2003,MEM,PHI,-7
1134,20021121,2003,DAL,HOU,13
1135,20021121,2003,SEA,POR,-4
1136,20021122,2003,IND,ORL,36
1137,20021122,2003,SAC,PHX,17
1138,20021122,2003,BOS,ATL,7
1139,20021122,2003,NO,NY,8
1140,20021122,2003,GS,MIL,-4
1141,20021122,2003,HOU,WSH,7
1142,20021122,2003,LAL,CHI,13
1143,20021122,2003,NJ,CLE,41
1144,20021122,2003,SA,MEM,9
1145,20021122,2003,MIA,DET,-3
1146,20021122,2003,PHI,TOR,10
1147,20021122,2003,DEN,LAC,2
1148,20021123,2003,ATL,BOS,-10
1149,20021123,2003,IND,DET,-15
1150,20021123,2003,MIN,NJ,-14
1151,20021123,2003,PHX,DEN,-1
1152,20021123,2003,POR,SAC,-1
1153,20021123,2003,UTAH,CHI,20
1154,20021123,2003,MEM,WSH,11
1155,20021123,2003,CLE,NO,-13
1156,20021123,2003,DAL,SEA,10
1157,20021124,2003,LAC,HOU,1
1158,20021124,2003,TOR,PHI,-10
1159,20021124,2003,ORL,MIA,2
1160,20021124,2003,SA,SEA,-1
1161,20021124,2003,LAL,MIL,12
1162,20021124,2003,NY,MIN,-18
1163,20021125,2003,PHI,NO,21
1164,20021125,2003,PHX,MIL,5
1165,20021126,2003,CLE,SAC,-6
1166,20021126,2003,DEN,SA,4
1167,20021126,2003,POR,HOU,6
1168,20021126,2003,WSH,IND,-4
1169,20021126,2003,ATL,SEA,3
1170,20021126,2003,LAC,UTAH,-5
1171,20021126,2003,MIA,LAL,12
1172,20021127,2003,BOS,CHI,10
1173,20021127,2003,MIL,CLE,32
1174,20021127,2003,MIN,SAC,16
1175,20021127,2003,ORL,LAL,10
1176,20021127,2003,PHI,MIA,9
