Tm,AST,DRR,EWA,GP,MPG,ORR,PER_x,REBR,TO,TS%,USG,VA,Age,MP,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
ATL,14.726666666666665,13.026666666666669,1.7333333333333336,67.13333333333334,24.859999999999996,5.533333333333333,13.925333333333331,9.326666666666666,11.833333333333334,0.5068666666666667,18.173333333333332,51.78,27.066666666666666,1256.2666666666667,5.866666666666665,14.413333333333336,10.186666666666666,12.566666666666666,1.4933333333333334,1.9333333333333333,14.173333333333334,20.080000000000002,1.1866666666666668,0.7533333333333332,1.9333333333333331,0.06033333333333334,-0.9333333333333333,-1.0266666666666666,-1.9733333333333332,0.29999999999999993
BOS,15.850000000000001,14.133333333333333,1.5666666666666667,72.75,24.875,5.583333333333333,13.8725,9.875,12.233333333333334,0.5241666666666668,17.816666666666666,47.13333333333333,26.833333333333332,1358.5,5.366666666666666,13.808333333333335,9.65,13.983333333333334,1.9083333333333334,1.3333333333333333,14.566666666666665,19.041666666666664,1.5249999999999997,1.3,2.783333333333333,0.09633333333333333,-0.46666666666666673,-0.3333333333333333,-0.7833333333333333,0.5750000000000001
CHI,13.857142857142858,16.557142857142857,1.05,60.857142857142854,25.064285714285713,7.0,12.932857142857143,11.607142857142856,11.635714285714284,0.48064285714285715,17.285714285714285,31.357142857142854,27.571428571428573,1157.2142857142858,6.692857142857142,16.235714285714288,11.335714285714285,12.87857142857143,1.7428571428571427,1.7142857142857142,13.799999999999999,18.800000000000004,0.3857142857142857,1.1214285714285714,1.5357142857142854,0.06100000000000001,-1.957142857142857,-0.1142857142857143,-2.0785714285714287,0.1857142857142857
CLE,15.713333333333333,14.346666666666666,1.9533333333333334,69.4,23.873333333333335,6.333333333333333,13.982666666666669,10.353333333333333,11.300000000000002,0.4979333333333334,17.69333333333333,58.75333333333334,25.2,1254.4,6.273333333333335,14.286666666666665,10.280000000000001,14.366666666666669,1.46,1.8266666666666667,13.366666666666667,18.84,1.2333333333333332,1.1,2.333333333333333,0.07386666666666666,-0.9666666666666667,-0.48000000000000004,-1.4866666666666668,0.4600000000000001
DAL,13.427272727272726,15.045454545454545,2.6727272727272724,63.18181818181818,22.318181818181817,7.636363636363637,16.63,11.336363636363636,8.527272727272727,0.5212727272727272,17.37272727272727,79.88181818181819,28.09090909090909,1496.909090909091,7.427272727272728,14.890909090909092,11.08181818181818,10.209090909090907,1.8181818181818181,2.0,10.200000000000001,18.50909090909091,3.272727272727273,0.8272727272727273,4.09090909090909,0.11809090909090908,0.2636363636363637,-0.5181818181818182,-0.26363636363636367,1.1636363636363638
DEN,15.809999999999997,14.51,2.2199999999999998,72.5,23.01,6.3,15.346,10.29,11.05,0.5091,17.74,66.57000000000001,26.7,1641.1,6.2,14.51,10.29,14.029999999999998,1.8200000000000003,2.2199999999999998,12.910000000000002,18.93,2.23,1.6700000000000004,3.9200000000000004,0.10769999999999999,-0.17,0.22000000000000003,0.030000000000000027,1.07
DET,18.291666666666668,13.275,2.3666666666666667,71.66666666666667,27.041666666666668,4.916666666666667,15.245833333333332,9.183333333333334,11.408333333333333,0.5067499999999999,19.23333333333333,71.14166666666668,28.5,1552.5833333333333,5.183333333333333,13.9,9.616666666666667,16.96666666666667,1.9416666666666667,2.0,14.591666666666667,19.783333333333335,1.7416666666666665,3.041666666666666,4.758333333333334,0.13625,-0.44166666666666665,1.5666666666666667,1.125,1.4416666666666667
GSW,16.454545454545453,14.618181818181819,1.8909090909090909,61.90909090909091,26.454545454545453,5.7272727272727275,14.991818181818182,10.145454545454546,11.236363636363636,0.5109090909090909,18.39090909090909,56.83636363636362,28.636363636363637,1717.3636363636363,5.654545454545455,14.618181818181819,10.136363636363638,15.445454545454545,1.5545454545454547,1.5636363636363635,13.536363636363633,19.681818181818183,1.9636363636363638,1.5727272727272732,3.527272727272728,0.09581818181818182,-0.24545454545454548,-0.04545454545454546,-0.29090909090909084,0.8999999999999999
HOU,17.770000000000003,13.690000000000001,1.14,65.0,23.970000000000002,5.4,12.820999999999998,9.73,13.180000000000001,0.5091,16.34,33.839999999999996,30.4,1624.6,5.34,13.690000000000001,9.73,14.35,1.64,1.24,16.87,17.65,1.13,2.37,3.4799999999999995,0.094,-1.07,0.7200000000000001,-0.34,0.96
IND,18.339999999999996,14.75,1.8800000000000001,70.0,24.0,6.2,14.472999999999999,10.44,11.67,0.5109,17.330000000000002,55.93000000000001,26.6,1702.2,6.21,14.75,10.44,16.02,2.08,1.52,14.55,18.38,1.8800000000000001,3.06,4.95,0.1336,-0.5,1.0799999999999998,0.5800000000000001,1.3300000000000003
