Tm,AST,DRR,EWA,GP,MPG,ORR,PER,REBR,TO,TS%,USG,VA,Age,MP,OWS,DWS,WS,OBPM,DBPM,BPM,VORP
ATL,17.284615384615385,12.623076923076923,3.0153846153846158,62.38461538461539,23.515384615384615,3.8461538461538463,13.415384615384616,8.3,11.084615384615384,0.5405384615384615,17.200000000000003,90.63846153846151,27.923076923076923,1427.076923076923,1.4307692307692312,1.7076923076923076,3.1384615384615393,-0.9384615384615385,-0.0769230769230769,-1.0153846153846153,0.7923076923076923
BOS,17.2,14.166666666666666,3.1583333333333328,64.08333333333333,25.558333333333334,4.2749999999999995,14.461666666666668,9.358333333333333,10.825000000000001,0.5465,17.95,94.74999999999999,28.166666666666668,1569.0,1.2999999999999998,2.05,3.358333333333333,-0.7416666666666667,0.3833333333333333,-0.3666666666666667,0.8333333333333334
BRK,15.054545454545451,14.590909090909093,4.263636363636363,71.27272727272727,23.7,6.163636363636363,14.734545454545456,10.336363636363636,12.0,0.5290909090909092,18.318181818181817,127.77272727272727,29.09090909090909,1719.1818181818182,2.5909090909090904,1.6727272727272726,4.263636363636363,0.05454545454545456,-0.1909090909090909,-0.1363636363636364,1.090909090909091
CHA,14.766666666666667,13.666666666666666,2.3749999999999996,65.5,23.724999999999998,5.358333333333332,13.157499999999999,9.4,11.249999999999998,0.5001666666666666,17.624999999999996,71.64166666666668,25.333333333333332,1526.5833333333333,1.0166666666666666,0.45,1.4833333333333334,-0.9083333333333332,-1.5166666666666666,-2.441666666666667,-0.07500000000000002
CHI,17.46,14.36,3.7400000000000007,69.5,26.950000000000006,6.029999999999999,14.044000000000002,10.16,10.61,0.5085,18.770000000000003,111.92,29.0,1898.1,1.77,2.54,4.319999999999999,-0.8099999999999999,0.51,-0.29999999999999993,1.09
CLE,17.23846153846154,13.784615384615384,2.276923076923077,63.61538461538461,22.96923076923077,4.484615384615384,13.343846153846155,8.923076923076922,10.56153846153846,0.5057692307692307,19.023076923076925,68.5076923076923,24.615384615384617,1374.8461538461538,1.2000000000000002,0.792307692307692,1.961538461538461,-0.4692307692307693,-0.8076923076923077,-1.2846153846153845,0.2615384615384616
DAL,17.292307692307695,13.846153846153848,3.253846153846153,65.0,22.376923076923074,4.0,14.093846153846155,9.007692307692306,10.146153846153847,0.5283846153846153,17.93846153846154,97.49230769230768,30.384615384615383,1439.6923076923076,1.5999999999999999,1.3461538461538463,2.923076923076923,-0.5307692307692309,-0.10769230769230768,-0.6461538461538462,0.7923076923076924
DEN,15.411111111111113,14.788888888888888,6.366666666666667,74.55555555555556,27.322222222222223,6.48888888888889,17.06,10.711111111111112,10.444444444444445,0.5541111111111111,18.988888888888887,190.7111111111111,26.22222222222222,2036.888888888889,3.5222222222222217,2.233333333333333,5.755555555555556,1.077777777777778,0.3222222222222222,1.3888888888888888,1.811111111111111
DET,14.109090909090908,15.763636363636364,2.727272727272727,69.63636363636364,24.0,6.00909090909091,14.407272727272728,10.799999999999999,10.881818181818183,0.5181818181818182,18.818181818181817,81.71818181818183,25.454545454545453,1596.0,1.1454545454545455,1.2,2.354545454545455,-0.3727272727272727,-0.49090909090909085,-0.8545454545454546,0.3727272727272728
GSW,15.49,16.12,4.0600000000000005,72.5,25.160000000000004,5.8100000000000005,13.851000000000003,11.13,12.319999999999999,0.5242,16.97,121.53999999999999,25.8,1864.4,2.4499999999999997,1.9800000000000004,4.3999999999999995,-0.56,0.44000000000000006,-0.14000000000000004,1.1999999999999997
HOU,18.169999999999998,13.170000000000002,4.200000000000001,67.9,24.239999999999995,5.17,14.978,9.189999999999998,11.580000000000002,0.5560999999999999,18.57,125.85,24.5,1431.2,2.65,1.2999999999999998,3.95,0.09000000000000012,0.22000000000000003,0.3000000000000001,1.3699999999999999
IND,15.654545454545454,14.472727272727274,3.4454545454545453,71.72727272727273,23.218181818181815,5.9818181818181815,13.509999999999998,10.290909090909091,11.845454545454544,0.5141818181818182,17.936363636363634,103.24545454545455,25.727272727272727,1716.3636363636363,1.7454545454545458,3.018181818181819,4.78181818181818,-0.8727272727272727,0.9090909090909091,0.045454545454545414,1.2636363636363637
LAC,15.872727272727273,14.981818181818182,5.290909090909091,74.63636363636364,22.545454545454547,6.181818181818182,15.652727272727274,10.654545454545456,11.936363636363637,0.5540000000000002,17.572727272727274,158.48181818181817,28.636363636363637,1711.909090909091,3.0090909090909093,2.2636363636363637,5.245454545454546,0.3545454545454547,0.5909090909090909,0.9636363636363636,1.6545454545454552
LAL,18.56,13.930000000000001,4.13,63.0,26.589999999999996,4.93,13.904,9.55,11.09,0.5347999999999999,17.099999999999998,123.9,29.6,1726.0,2.28,1.7100000000000002,4.0,-0.17999999999999994,0.09,-0.08000000000000003,1.1700000000000002
MEM,14.3,15.461538461538462,4.276923076923077,74.07692307692308,25.246153846153845,6.053846153846153,14.855384615384615,10.661538461538463,9.907692307692308,0.5229230769230769,18.92307692307692,128.39999999999998,26.307692307692307,1468.3846153846155,1.6,2.4846153846153856,4.092307692307692,-0.6461538461538462,1.0923076923076922,0.43076923076923074,1.2230769230769232
MIA,16.700000000000003,15.490909090909092,5.463636363636364,67.36363636363636,22.72727272727273,5.318181818181818,15.469090909090909,10.69090909090909,11.509090909090908,0.5744545454545454,15.981818181818182,163.60909090909087,30.181818181818183,1587.4545454545455,3.272727272727273,2.0818181818181816,5.363636363636365,0.4545454545454548,0.2909090909090909,0.7454545454545456,1.6363636363636365
MIL,15.73076923076923,14.469230769230766,2.623076923076922,63.92307692307692,21.753846153846155,6.1,13.52230769230769,10.161538461538461,10.984615384615383,0.49246153846153856,17.876923076923074,78.6769230769231,25.923076923076923,1279.2307692307693,0.8615384615384614,1.3923076923076925,2.3000000000000003,-1.6846153846153844,0.007692307692307716,-1.6538461538461537,0.4769230769230769
MIN,16.389999999999997,16.1,2.43,62.9,26.07,4.88,14.116,10.3,10.950000000000001,0.506,19.590000000000003,72.36,25.7,1601.3,0.8800000000000001,1.7200000000000002,2.6,-0.7,0.19,-0.5199999999999999,0.6399999999999999
NOH,12.92727272727273,14.227272727272725,2.927272727272727,63.27272727272727,21.554545454545455,5.9363636363636365,13.602727272727272,10.018181818181816,11.045454545454545,0.5255454545454545,17.781818181818185,87.67272727272729,23.0,1399.8181818181818,1.6545454545454548,0.7909090909090907,2.4454545454545453,-0.8454545454545456,-0.6454545454545454,-1.4636363636363638,0.49090909090909096
NYK,15.32222222222222,13.433333333333332,4.466666666666667,61.111111111111114,23.944444444444443,5.700000000000001,16.006666666666668,9.422222222222224,9.855555555555556,0.5650000000000001,18.111111111111107,133.8777777777778,28.555555555555557,1457.111111111111,2.9555555555555557,1.2555555555555555,4.188888888888888,0.9888888888888887,-0.4333333333333333,0.5777777777777777,1.1111111111111112
OKC,17.566666666666666,13.350000000000001,5.333333333333333,71.08333333333333,23.066666666666663,5.0166666666666675,14.619166666666667,9.458333333333332,12.483333333333336,0.5541666666666667,16.725,159.67499999999998,27.083333333333332,1584.1666666666667,3.291666666666668,2.2583333333333333,5.550000000000001,-0.016666666666666757,0.6583333333333333,0.6249999999999999,1.7833333333333334
ORL,17.230769230769234,13.792307692307691,1.3846153846153841,60.53846153846154,21.66923076923077,4.507692307692308,12.438461538461537,9.13076923076923,10.930769230769233,0.4955384615384616,18.084615384615383,41.123076923076916,24.076923076923077,1135.8461538461538,0.4307692307692308,0.6461538461538462,1.0692307692307692,-1.7692307692307692,-0.7461538461538463,-2.5,-0.030769230769230764
PHI,15.608333333333336,13.283333333333337,3.0999999999999996,64.0,24.175,5.091666666666667,13.718333333333334,9.083333333333334,9.450000000000001,0.52025,17.875000000000004,92.86666666666667,26.25,1585.1666666666667,1.1083333333333334,1.6666666666666667,2.75,-1.0583333333333333,-0.09166666666666667,-1.1333333333333335,0.5666666666666668
PHO,16.063636363636366,14.563636363636364,1.9,66.27272727272727,22.272727272727266,5.1000000000000005,12.845454545454544,9.718181818181819,11.500000000000002,0.5054545454545454,18.363636363636363,56.8909090909091,26.818181818181817,1492.0,0.6545454545454547,1.1090909090909091,1.7636363636363634,-1.4363636363636363,-0.5272727272727272,-1.9636363636363634,0.1545454545454546
POR,18.25,12.51,3.0300000000000002,65.4,23.580000000000002,3.7399999999999998,12.071,8.069999999999999,11.73,0.5094,17.62,91.24000000000001,24.2,1589.1,1.7399999999999998,0.8400000000000002,2.5999999999999996,-1.2200000000000002,-0.61,-1.8200000000000003,0.69
SAC,16.453846153846154,13.50769230769231,3.0076923076923077,70.07692307692308,22.615384615384617,5.561538461538461,14.176153846153849,9.446153846153845,11.323076923076924,0.5238461538461539,18.869230769230768,90.13076923076923,25.153846153846153,1420.7692307692307,1.630769230769231,0.4461538461538461,2.0692307692307694,-0.2076923076923078,-0.9769230769230769,-1.1538461538461537,0.3692307692307693
SAS,17.71666666666667,14.633333333333331,4.050000000000001,67.58333333333333,21.83333333333334,4.116666666666668,15.034166666666666,9.683333333333334,10.958333333333334,0.5669166666666667,17.383333333333333,121.31666666666666,28.0,1488.6666666666667,2.083333333333333,2.275,4.333333333333333,-0.05833333333333335,0.8666666666666666,0.8250000000000002,1.3333333333333337
TOR,15.958333333333334,14.350000000000001,2.7916666666666665,64.58333333333333,23.491666666666664,5.075,13.37833333333333,9.633333333333335,10.833333333333334,0.5163333333333333,18.683333333333334,83.55,25.833333333333332,1324.1666666666667,1.2416666666666667,1.0833333333333335,2.3250000000000006,-0.5166666666666667,-0.3666666666666667,-0.8833333333333334,0.525
TOT,18.60833333333333,12.066666666666668,1.1999999999999995,62.625,19.187500000000004,4.079166666666667,11.982083333333334,8.008333333333333,10.9625,0.4989583333333332,17.987499999999994,35.99583333333332,26.333333333333332,1239.6666666666667,0.7208333333333335,0.9958333333333332,1.7166666666666666,-1.4749999999999999,-0.6291666666666668,-2.108333333333333,0.15416666666666667
UTA,19.575000000000003,13.75,3.5999999999999996,68.33333333333333,23.63333333333334,5.758333333333333,14.614166666666662,9.700000000000001,11.950000000000001,0.5179999999999999,18.39166666666667,108.15833333333332,26.416666666666668,1634.5,1.8833333333333335,1.458333333333333,3.3499999999999996,-0.2416666666666667,-0.1333333333333333,-0.375,0.8833333333333334
