Tm,AST,DRR,EWA,GP,MPG,ORR,PER,REBR,TO,TS%,USG,VA,MP,OWS,DWS,WS,OBPM,DBPM,BPM,VORP
ATL,15.42222222222222,13.000000000000002,4.444444444444444,72.66666666666667,28.18888888888889,5.555555555555555,14.374444444444444,9.155555555555557,11.31111111111111,0.5362222222222222,18.355555555555558,132.88888888888889,2086.8888888888887,2.5888888888888895,0.7555555555555558,3.3777777777777778,-0.08888888888888886,-1.2777777777777777,-1.3555555555555554,0.5555555555555556
BOS,15.146666666666672,14.193333333333333,3.313333333333334,68.73333333333333,24.753333333333334,5.266666666666667,12.997333333333334,9.826666666666664,13.586666666666668,0.5302666666666667,17.033333333333335,99.04,1279.1333333333334,1.2666666666666668,1.1999999999999997,2.48,-1.6866666666666665,-0.3533333333333333,-2.0266666666666664,0.5466666666666666
CHA,13.699999999999998,14.458333333333336,2.583333333333333,59.416666666666664,25.108333333333334,5.166666666666667,13.540833333333333,9.558333333333335,10.758333333333335,0.5045833333333333,17.891666666666666,77.35000000000001,1406.8333333333333,0.7999999999999998,1.4166666666666667,2.216666666666667,-1.1749999999999998,-0.05833333333333333,-1.2,0.49999999999999994
CHI,15.479999999999999,13.780000000000001,2.38,66.6,23.690000000000005,4.7,12.971,9.31,12.080000000000002,0.5229,18.880000000000003,71.96000000000001,1584.9,1.27,2.08,3.3600000000000003,-1.1199999999999999,0.32999999999999996,-0.79,0.8899999999999999
CLE,15.41111111111111,14.666666666666666,5.477777777777778,71.55555555555556,28.1,6.111111111111111,15.184444444444447,10.3,11.311111111111112,0.5277777777777778,17.744444444444447,164.3888888888889,1908.2222222222222,2.9222222222222225,2.1333333333333337,5.0777777777777775,0.1333333333333333,0.04444444444444443,0.1888888888888888,1.5444444444444443
DAL,16.172727272727272,14.018181818181818,5.572727272727274,65.72727272727273,25.572727272727274,6.545454545454546,15.584545454545456,10.281818181818181,12.3,0.5307272727272727,17.736363636363635,166.8181818181818,1706.2727272727273,3.2909090909090897,2.0181818181818176,5.309090909090909,0.49999999999999994,0.30000000000000004,0.763636363636364,1.636363636363636
DEN,15.583333333333336,15.158333333333331,4.158333333333334,67.16666666666667,24.833333333333332,5.5,15.08,10.416666666666666,11.283333333333333,0.5359166666666667,17.683333333333334,124.89999999999998,1493.25,1.6333333333333335,1.7083333333333333,3.3583333333333325,-0.6166666666666666,0.16666666666666666,-0.45,0.8833333333333333
DET,17.87777777777778,13.73333333333333,7.044444444444443,79.11111111111111,26.466666666666665,6.0,16.416666666666668,9.755555555555555,8.888888888888891,0.5296666666666666,18.53333333333333,211.4333333333333,2057.3333333333335,3.6999999999999997,2.8777777777777778,6.544444444444445,0.3444444444444446,0.588888888888889,0.9333333333333333,2.055555555555556
GSW,15.0625,14.275000000000002,4.3999999999999995,70.125,28.625,5.125,14.785,9.5875,11.5,0.5251250000000001,18.812499999999996,131.97499999999997,2034.0,2.175,2.1,4.2625,-0.13750000000000007,0.0625,-0.062499999999999944,1.2249999999999999
HOU,16.1,13.766666666666666,0.5999999999999999,64.77777777777777,25.211111111111112,5.333333333333333,11.586666666666666,9.61111111111111,10.844444444444445,0.49888888888888894,15.5,18.177777777777777,1536.3333333333333,0.43333333333333335,1.9111111111111114,2.388888888888889,-1.9777777777777779,0.588888888888889,-1.3888888888888888,0.2111111111111111
IND,15.072727272727274,15.42727272727273,3.0818181818181825,61.45454545454545,26.718181818181815,6.7272727272727275,14.201818181818181,11.181818181818182,12.390909090909092,0.5255454545454546,17.809090909090912,92.10909090909091,1504.909090909091,1.0636363636363635,2.327272727272727,3.372727272727273,-0.8909090909090908,1.0727272727272728,0.18181818181818182,0.8363636363636363
LAC,16.259999999999998,15.059999999999999,4.749999999999999,67.6,26.82,5.3,14.839000000000002,10.41,11.749999999999998,0.5362,17.220000000000002,142.36,1765.5,2.0100000000000002,2.37,4.389999999999999,-0.6700000000000002,0.6399999999999999,-0.01999999999999984,1.2100000000000002
LAL,15.933333333333337,15.166666666666666,5.377777777777778,70.44444444444444,26.833333333333332,6.0,14.15,10.533333333333333,11.622222222222222,0.5184444444444445,17.700000000000003,161.16666666666663,1921.3333333333333,3.088888888888889,2.111111111111111,5.199999999999999,-0.3444444444444445,-0.2111111111111111,-0.5444444444444444,1.588888888888889
MEM,15.858333333333333,13.783333333333337,3.5833333333333335,67.0,24.05,5.0,13.714166666666664,9.483333333333334,11.616666666666667,0.5207499999999999,17.733333333333334,107.13333333333333,1596.5833333333333,1.7916666666666667,2.5,4.275000000000001,-1.0083333333333335,0.5333333333333333,-0.48333333333333317,1.2666666666666664
MIA,17.2625,13.7625,4.025,63.25,25.900000000000002,3.5,13.352500000000001,8.9125,10.399999999999999,0.53725,16.775,120.7625,1642.25,2.6249999999999996,1.925,4.5375000000000005,-0.16249999999999987,0.08750000000000002,-0.09999999999999987,1.4125
MIL,15.144444444444442,15.377777777777778,4.522222222222222,69.55555555555556,27.48888888888889,6.222222222222222,15.326666666666666,10.755555555555556,10.688888888888888,0.5357777777777778,18.56666666666667,135.73333333333332,1958.2222222222222,2.3555555555555556,1.7222222222222223,4.077777777777778,-0.16666666666666663,-0.23333333333333334,-0.3888888888888889,0.9333333333333331
MIN,15.369230769230771,13.246153846153845,3.153846153846154,65.6923076923077,24.592307692307692,4.6923076923076925,12.686923076923076,9.046153846153846,12.530769230769234,0.5031538461538462,17.46923076923077,94.85384615384615,1316.5384615384614,0.9923076923076922,1.5923076923076922,2.584615384615385,-1.5846153846153848,0.10000000000000002,-1.5076923076923079,0.5846153846153845
NJN,13.722222222222221,15.511111111111111,2.3555555555555556,67.44444444444444,21.522222222222222,6.111111111111111,12.148888888888887,10.7,10.78888888888889,0.5026666666666667,16.41111111111111,70.27777777777777,1413.2222222222222,1.3555555555555554,2.0666666666666664,3.4000000000000004,-2.5444444444444447,0.6666666666666666,-1.8444444444444446,0.8333333333333334
NOK,11.48181818181818,15.372727272727273,3.2545454545454544,63.18181818181818,24.37272727272727,6.909090909090909,14.00181818181818,11.00909090909091,11.127272727272725,0.5191818181818182,17.436363636363634,97.95454545454544,1578.6363636363637,1.5,1.4909090909090907,2.9818181818181815,-0.7636363636363636,-0.41818181818181815,-1.2181818181818185,0.681818181818182
NYK,13.966666666666665,15.3,1.9399999999999993,62.666666666666664,22.486666666666665,6.666666666666667,12.933333333333334,10.973333333333333,13.78,0.5248666666666667,17.386666666666667,58.13333333333332,1164.9333333333334,0.9533333333333333,0.49333333333333323,1.4666666666666666,-0.8266666666666667,-0.7533333333333333,-1.5866666666666664,0.1866666666666667
ORL,16.666666666666668,12.866666666666667,3.5222222222222217,68.77777777777777,25.700000000000003,5.222222222222222,14.054444444444444,9.088888888888889,12.6,0.527,17.72222222222222,105.04444444444445,1595.6666666666667,1.6555555555555554,1.3888888888888893,3.022222222222222,-0.0333333333333335,-0.4333333333333333,-0.4666666666666668,0.5999999999999999
PHI,15.474999999999998,16.125,2.9625000000000004,72.75,25.612500000000004,5.75,12.875,10.975000000000001,12.487499999999999,0.545875,14.975,88.6875,1910.125,1.6500000000000001,1.6125,3.3000000000000003,-1.5499999999999998,-0.175,-1.7625000000000002,0.4
PHO,14.055555555555555,14.511111111111113,4.722222222222223,64.0,27.188888888888886,3.4444444444444446,13.991111111111111,9.066666666666668,9.244444444444445,0.5353333333333334,17.866666666666667,141.52222222222224,1816.2222222222222,2.7777777777777777,2.011111111111111,4.8,-0.4555555555555555,0.07777777777777782,-0.39999999999999997,1.4
POR,14.466666666666667,13.5,2.3916666666666666,65.16666666666667,23.741666666666664,5.25,13.591666666666667,9.341666666666667,12.291666666666666,0.5245833333333335,17.633333333333336,70.97500000000001,1438.5,0.7083333333333334,0.4083333333333334,1.125,-1.0583333333333333,-1.1166666666666667,-2.1666666666666665,-0.016666666666666666
SAC,16.5,14.5,4.833333333333334,69.55555555555556,28.455555555555552,6.0,14.695555555555554,10.266666666666666,11.844444444444443,0.5355555555555556,17.766666666666666,144.60000000000002,1865.7777777777778,2.4000000000000004,2.1777777777777776,4.5777777777777775,-0.46666666666666656,0.5,0.044444444444444585,1.2555555555555555
SAS,17.633333333333333,14.088888888888892,4.3999999999999995,72.77777777777777,23.12222222222222,5.0,15.077777777777776,9.611111111111112,10.766666666666667,0.5378888888888889,18.355555555555554,131.3888888888889,1743.7777777777778,2.0555555555555554,3.111111111111111,5.188888888888889,0.18888888888888883,1.0,1.1888888888888889,1.5999999999999996
SEA,13.890909090909092,15.8,2.9,68.81818181818181,23.081818181818186,7.090909090909091,13.741818181818182,11.481818181818182,13.172727272727274,0.5381818181818182,15.463636363636363,86.81818181818183,1334.0,2.0363636363636357,0.09999999999999999,2.145454545454546,-0.2818181818181817,-1.7727272727272727,-2.0545454545454547,0.21818181818181817
TOR,10.629999999999999,15.720000000000002,4.579999999999999,67.6,26.48,6.7,14.234,11.030000000000001,11.16,0.546,16.7,137.48999999999998,1658.4,3.0299999999999994,0.39,3.4499999999999993,-0.67,-1.1400000000000001,-1.8299999999999996,0.8400000000000001
TOT,14.37777777777778,13.955555555555554,1.8185185185185195,61.851851851851855,22.992592592592594,5.37037037037037,12.346296296296295,9.696296296296296,12.922222222222224,0.5144444444444445,17.048148148148144,54.34074074074074,1462.0740740740741,0.9148148148148147,1.1703703703703705,2.0851851851851855,-1.5851851851851853,-0.5851851851851853,-2.174074074074074,0.16666666666666666
UTA,17.763636363636365,15.445454545454545,3.272727272727272,68.54545454545455,24.13636363636364,6.909090909090909,13.814545454545453,11.136363636363637,12.29090909090909,0.5112727272727273,18.127272727272725,98.55454545454546,1663.6363636363637,1.6454545454545455,1.6181818181818182,3.2545454545454557,-0.9454545454545457,-0.12727272727272726,-1.0454545454545454,0.7181818181818179
WAS,14.219999999999999,14.080000000000002,4.92,71.2,27.390000000000004,6.5,14.492,10.179999999999998,11.900000000000002,0.529,16.58,147.72000000000003,1869.2,2.96,1.61,4.590000000000001,-0.09999999999999987,-0.25,-0.34,1.23
